cohort	section	n_spots	CCL13_pct	ACKR4_pct	CCL13_myeloid_rho	ACKR4_osteoclast_rho
GSE293065	PT1	829	0.0	0.0		
GSE293065	PT2	712	0.42134831460674155	0.0	0.06304436360360716	
GSE293065	PT3	1190	2.5210084033613445	0.08403361344537816	0.13649140348344016	-0.02064314992776781
GSE293065	PT4	842	0.35629453681710216	0.0	-0.008537226355442873	
GSE293065	PT5	1805	0.0	0.110803324099723		0.026061882187899135
GSE293065	PT6	461	2.8199566160520604	0.0	0.080406606268545	
GSE293065	PT7	754	1.1936339522546418	0.0	0.055898997765044936	
GSE293065	PT8	2191	0.8215426745778184	0.09128251939753537	0.023913707461732273	-0.025261663658340712
GSE293065	PT9	876	0.0	0.0		
GSE299025	PatientA	3053	1.3756960366852276	0.26203734032099574	0.05590126400528224	-0.013986436996057344
GSE299025	PatientB	3020	2.5827814569536423	0.0	0.08312619587464715	
