	CCL13_z	ACKR4_z	Myeloid_z	Osteoclast_z	Fibroblast_MSC_z	Endothelial_z	T_NK_z
CCL13_z	1.0	0.18356347798127626	0.4688870511515221	0.08364302478846738	-0.02899061250827907	0.2691230614377304	0.5598922120447651
ACKR4_z	0.18356347798127626	1.0	0.14080414225251206	0.006322537469499917	0.27542663923540167	0.18023634669320932	0.26043923147343945
Myeloid_z	0.4688870511515221	0.14080414225251206	1.0	0.35016378429784084	0.08722834701137684	0.562273255609172	0.7339121552604698
Osteoclast_z	0.08364302478846738	0.006322537469499917	0.35016378429784084	1.0	-0.07548166672537071	0.3562220421964707	0.21129935542953754
Fibroblast_MSC_z	-0.02899061250827907	0.27542663923540167	0.08722834701137684	-0.07548166672537071	1.0	0.13203127751752317	0.11528301222218308
Endothelial_z	0.2691230614377304	0.18023634669320932	0.562273255609172	0.3562220421964707	0.13203127751752317	1.0	0.526487267091684
T_NK_z	0.5598922120447651	0.26043923147343945	0.7339121552604698	0.21129935542953754	0.11528301222218308	0.526487267091684	1.0
