cohort	patient	gene	state	n_cells	positive_cells	pct_positive
GSE162454	OS_4	CCL20	B_plasma	87	4	4.597701149425287
GSE162454	OS_4	CCL20	Endothelial	68	6	8.823529411764707
GSE162454	OS_4	CCL20	Fibroblast_MSC	115	10	8.695652173913043
GSE162454	OS_4	CCL20	Myeloid	1228	564	45.928338762214985
GSE162454	OS_4	CCL20	Osteoclast	165	16	9.696969696969697
GSE162454	OS_4	CCL20	T_NK	337	18	5.341246290801187
GSE162454	OS_4	CCL20	Tumor_mesenchymal	1000	75	7.5
GSE162454	OS_5	CCL20	B_plasma	6	0	0.0
GSE162454	OS_5	CCL20	Endothelial	52	4	7.6923076923076925
GSE162454	OS_5	CCL20	Fibroblast_MSC	55	8	14.545454545454545
GSE162454	OS_5	CCL20	Myeloid	2083	801	38.45415266442631
GSE162454	OS_5	CCL20	Osteoclast	82	8	9.75609756097561
GSE162454	OS_5	CCL20	T_NK	598	49	8.193979933110368
GSE162454	OS_5	CCL20	Tumor_mesenchymal	124	16	12.903225806451612
GSE162454	OS_6	CCL20	B_plasma	466	6	1.2875536480686696
GSE162454	OS_6	CCL20	Endothelial	50	0	0.0
GSE162454	OS_6	CCL20	Fibroblast_MSC	190	1	0.5263157894736842
GSE162454	OS_6	CCL20	Myeloid	471	131	27.81316348195329
GSE162454	OS_6	CCL20	Osteoclast	14	0	0.0
GSE162454	OS_6	CCL20	T_NK	966	19	1.9668737060041408
GSE162454	OS_6	CCL20	Tumor_mesenchymal	843	13	1.542111506524318
GSE162454	OS_1	CCL21	B_plasma	6	0	0.0
GSE162454	OS_1	CCL21	Endothelial	20	1	5.0
GSE162454	OS_1	CCL21	Fibroblast_MSC	46	2	4.3478260869565215
GSE162454	OS_1	CCL21	Myeloid	1693	1	0.05906674542232723
GSE162454	OS_1	CCL21	Osteoclast	282	0	0.0
GSE162454	OS_1	CCL21	T_NK	114	0	0.0
GSE162454	OS_1	CCL21	Tumor_mesenchymal	839	1	0.11918951132300357
GSE162454	OS_2	CCL21	B_plasma	13	0	0.0
GSE162454	OS_2	CCL21	Endothelial	102	2	1.9607843137254901
GSE162454	OS_2	CCL21	Fibroblast_MSC	99	5	5.05050505050505
GSE162454	OS_2	CCL21	Myeloid	1072	0	0.0
GSE162454	OS_2	CCL21	Osteoclast	267	0	0.0
GSE162454	OS_2	CCL21	T_NK	318	0	0.0
GSE162454	OS_2	CCL21	Tumor_mesenchymal	1129	2	0.1771479185119575
GSE162454	OS_3	CCL21	B_plasma	4	0	0.0
GSE162454	OS_3	CCL21	Endothelial	71	0	0.0
GSE162454	OS_3	CCL21	Fibroblast_MSC	157	0	0.0
GSE162454	OS_3	CCL21	Myeloid	201	0	0.0
GSE162454	OS_3	CCL21	Osteoclast	172	0	0.0
GSE162454	OS_3	CCL21	T_NK	90	0	0.0
GSE162454	OS_3	CCL21	Tumor_mesenchymal	2305	0	0.0
GSE162454	OS_4	CCL21	B_plasma	87	0	0.0
GSE162454	OS_4	CCL21	Endothelial	68	1	1.4705882352941175
GSE162454	OS_4	CCL21	Fibroblast_MSC	115	3	2.608695652173913
GSE162454	OS_4	CCL21	Myeloid	1228	1	0.08143322475570033
GSE162454	OS_4	CCL21	Osteoclast	165	0	0.0
GSE162454	OS_4	CCL21	T_NK	337	0	0.0
GSE162454	OS_4	CCL21	Tumor_mesenchymal	1000	2	0.2
GSE162454	OS_5	CCL21	B_plasma	6	0	0.0
GSE162454	OS_5	CCL21	Endothelial	52	0	0.0
GSE162454	OS_5	CCL21	Fibroblast_MSC	55	0	0.0
GSE162454	OS_5	CCL21	Myeloid	2083	0	0.0
GSE162454	OS_5	CCL21	Osteoclast	82	0	0.0
GSE162454	OS_5	CCL21	T_NK	598	0	0.0
GSE162454	OS_5	CCL21	Tumor_mesenchymal	124	0	0.0
GSE162454	OS_6	CCL21	B_plasma	466	0	0.0
GSE162454	OS_6	CCL21	Endothelial	50	0	0.0
GSE162454	OS_6	CCL21	Fibroblast_MSC	190	0	0.0
GSE162454	OS_6	CCL21	Myeloid	471	0	0.0
GSE162454	OS_6	CCL21	Osteoclast	14	0	0.0
GSE162454	OS_6	CCL21	T_NK	966	0	0.0
GSE162454	OS_6	CCL21	Tumor_mesenchymal	843	1	0.11862396204033215
GSE162454	OS_1	CCL22	B_plasma	6	0	0.0
GSE162454	OS_1	CCL22	Endothelial	20	0	0.0
GSE162454	OS_1	CCL22	Fibroblast_MSC	46	0	0.0
GSE162454	OS_1	CCL22	Myeloid	1693	10	0.5906674542232723
GSE162454	OS_1	CCL22	Osteoclast	282	3	1.0638297872340425
GSE162454	OS_1	CCL22	T_NK	114	0	0.0
GSE162454	OS_1	CCL22	Tumor_mesenchymal	839	0	0.0
GSE162454	OS_2	CCL22	B_plasma	13	0	0.0
GSE162454	OS_2	CCL22	Endothelial	102	0	0.0
GSE162454	OS_2	CCL22	Fibroblast_MSC	99	0	0.0
