gene	sections	sections_detected	section_detection_fraction
ACKR4	11	4	0.36363636363636365
CCL13	11	8	0.7272727272727273
CCL19	11	9	0.8181818181818182
CCL20	11	10	0.9090909090909091
CCL21	11	7	0.6363636363636364
CCL22	11	9	0.8181818181818182
CCL25	11	8	0.7272727272727273
