metric	comparison	repeats	median_delta	q1_delta	q3_delta	fraction_improved
auc	pair_vs_clinical	200	0.10279720279720284	0.08444055944055939	0.12447552447552448	1.0
auc	pair_vs_clinical_lineages	200	0.10209790209790215	0.08513986013986018	0.11888111888111885	1.0
brier	pair_vs_clinical	200	-0.007668711231182554	-0.010059375434456182	-0.0047050123040752595	0.9
brier	pair_vs_clinical_lineages	200	-0.009547273007467882	-0.012719984630726565	-0.006518213167192935	0.955
