	CCL13_z	ACKR4_z	T_NK_z	Myeloid_z	Osteoclast_z	Fibroblast_MSC_z	Endothelial_z
CCL13_z	1.0	0.08678748607876886	0.6997873848334515	0.6543079882555431	0.15727447605548242	0.3229928115824643	0.24952920927407107
ACKR4_z	0.08678748607876886	1.0	0.19171813303634708	0.29221423509162703	-0.10221727245114913	0.18311228105700111	0.01034727143869596
T_NK_z	0.6997873848334515	0.19171813303634708	1.0	0.7709223448415511	0.22330667206641694	0.14038675711248355	0.22510883871620938
Myeloid_z	0.6543079882555431	0.29221423509162703	0.7709223448415511	1.0	0.2790523438290979	0.2182241571327326	0.23241875063278322
Osteoclast_z	0.15727447605548242	-0.10221727245114913	0.22330667206641694	0.2790523438290979	1.0	-0.17495190847423306	0.015409537308899464
Fibroblast_MSC_z	0.3229928115824643	0.18311228105700111	0.14038675711248355	0.2182241571327326	-0.17495190847423306	1.0	0.38940973979953425
Endothelial_z	0.24952920927407107	0.01034727143869596	0.22510883871620938	0.23241875063278322	0.015409537308899464	0.38940973979953425	1.0
