patient_id	lineage	gene	cells	mean_expression	percent_expressing
NCHS-009	B_Plasma	CCL7	741	0.000677077812518981	0.134952766531714
NCHS-009	B_Plasma	CCL13	741	0	0
NCHS-009	B_Plasma	CCL19	741	0.0308197745681919	4.58839406207827
NCHS-009	B_Plasma	ACKR4	741	0	0
NCHS-009	B_Plasma	CCR9	741	0	0
NCHS-009	B_Plasma	TAC4	741	0	0
NCHS-009	B_Plasma	TACR2	741	0	0
NCHS-015	B_Plasma	CCL7	1	0	0
NCHS-015	B_Plasma	CCL13	1	0	0
NCHS-015	B_Plasma	CCL19	1	0	0
NCHS-015	B_Plasma	ACKR4	1	0	0
NCHS-015	B_Plasma	CCR9	1	0	0
NCHS-015	B_Plasma	TAC4	1	0	0
NCHS-015	B_Plasma	TACR2	1	0	0
SC069	B_Plasma	CCL7	21	0	0
SC069	B_Plasma	CCL13	21	0	0
SC069	B_Plasma	CCL19	21	0	0
SC069	B_Plasma	ACKR4	21	0	0
SC069	B_Plasma	CCR9	21	0	0
SC069	B_Plasma	TAC4	21	0	0
SC069	B_Plasma	TACR2	21	0	0
SC072	B_Plasma	CCL7	40	0	0
SC072	B_Plasma	CCL13	40	0	0
SC072	B_Plasma	CCL19	40	0	0
SC072	B_Plasma	ACKR4	40	0	0
SC072	B_Plasma	CCR9	40	0	0
SC072	B_Plasma	TAC4	40	0	0
SC072	B_Plasma	TACR2	40	0	0
SC073	B_Plasma	CCL7	5	0	0
SC073	B_Plasma	CCL13	5	0	0
SC073	B_Plasma	CCL19	5	0	0
SC073	B_Plasma	ACKR4	5	0	0
SC073	B_Plasma	CCR9	5	0	0
SC073	B_Plasma	TAC4	5	0	0
SC073	B_Plasma	TACR2	5	0	0
NCHS-009	Endothelial	CCL7	478	0.00393156009558619	0.418410041841004
NCHS-009	Endothelial	CCL13	478	0	0
NCHS-009	Endothelial	CCL19	478	0.0467603933244506	7.74058577405858
NCHS-009	Endothelial	ACKR4	478	0.0187609778484884	2.71966527196653
NCHS-009	Endothelial	CCR9	478	0	0
NCHS-009	Endothelial	TAC4	478	0	0
NCHS-009	Endothelial	TACR2	478	0.00312963509794449	1.25523012552301
NCHS-015	Endothelial	CCL7	353	0	0
NCHS-015	Endothelial	CCL13	353	0	0
NCHS-015	Endothelial	CCL19	353	0	0
NCHS-015	Endothelial	ACKR4	353	0.0134246036550222	0.84985835694051
NCHS-015	Endothelial	CCR9	353	0	0
NCHS-015	Endothelial	TAC4	353	0.00496328002906351	0.56657223796034
NCHS-015	Endothelial	TACR2	353	0.00287309155794885	0.28328611898017
SC069	Endothelial	CCL7	209	0	0
SC069	Endothelial	CCL13	209	0	0
SC069	Endothelial	CCL19	209	0	0
SC069	Endothelial	ACKR4	209	0.00629192339076258	0.478468899521531
SC069	Endothelial	CCR9	209	0	0
SC069	Endothelial	TAC4	209	0	0
SC069	Endothelial	TACR2	209	0	0
SC072	Endothelial	CCL7	57	0	0
SC072	Endothelial	CCL13	57	0	0
SC072	Endothelial	CCL19	57	0	0
SC072	Endothelial	ACKR4	57	0.0400746014816799	1.75438596491228
SC072	Endothelial	CCR9	57	0	0
SC072	Endothelial	TAC4	57	0	0
SC072	Endothelial	TACR2	57	0	0
SC073	Endothelial	CCL7	40	0	0
SC073	Endothelial	CCL13	40	0	0
SC073	Endothelial	CCL19	40	0	0
SC073	Endothelial	ACKR4	40	0	0
SC073	Endothelial	CCR9	40	0	0
SC073	Endothelial	TAC4	40	0	0
SC073	Endothelial	TACR2	40	0	0
NCHS-009	Fibroblast	CCL7	1695	0.00801338874445082	1.53392330383481
NCHS-009	Fibroblast	CCL13	1695	0.00854950075182961	1.00294985250737
NCHS-009	Fibroblast	CCL19	1695	0.468099619184309	20.5309734513274
NCHS-009	Fibroblast	ACKR4	1695	0.01088495815007	2.71386430678466
NCHS-009	Fibroblast	CCR9	1695	0	0
NCHS-009	Fibroblast	TAC4	1695	0.0018731140305455	0.471976401179941
NCHS-009	Fibroblast	TACR2	1695	0.0012901090978887	0.294985250737463
NCHS-015	Fibroblast	CCL7	2	0	0
NCHS-015	Fibroblast	CCL13	2	0	0
NCHS-015	Fibroblast	CCL19	2	0	0
NCHS-015	Fibroblast	ACKR4	2	0	0
NCHS-015	Fibroblast	CCR9	2	0	0
NCHS-015	Fibroblast	TAC4	2	0	0
NCHS-015	Fibroblast	TACR2	2	0	0
SC069	Fibroblast	CCL7	1088	0	0
SC069	Fibroblast	CCL13	1088	0	0
SC069	Fibroblast	CCL19	1088	0	0
SC069	Fibroblast	ACKR4	1088	0.00952460127404264	1.01102941176471
SC069	Fibroblast	CCR9	1088	0	0
SC069	Fibroblast	TAC4	1088	0	0
SC069	Fibroblast	TACR2	1088	0	0
SC072	Fibroblast	CCL7	119	0	0
SC072	Fibroblast	CCL13	119	0	0
SC072	Fibroblast	CCL19	119	0	0
SC072	Fibroblast	ACKR4	119	0.0180728712806356	1.68067226890756
SC072	Fibroblast	CCR9	119	0	0
SC072	Fibroblast	TAC4	119	0	0
SC072	Fibroblast	TACR2	119	0.00761226179129697	0.840336134453782
SC073	Fibroblast	CCL7	32	0	0
SC073	Fibroblast	CCL13	32	0	0
SC073	Fibroblast	CCL19	32	0	0
SC073	Fibroblast	ACKR4	32	0	0
SC073	Fibroblast	CCR9	32	0	0
SC073	Fibroblast	TAC4	32	0	0
SC073	Fibroblast	TACR2	32	0	0
NCHS-009	Lung_epithelial	CCL7	48	0	0
NCHS-009	Lung_epithelial	CCL13	48	0	0
NCHS-009	Lung_epithelial	CCL19	48	0.0371423226389513	4.16666666666667
NCHS-009	Lung_epithelial	ACKR4	48	0.0122241127277415	2.08333333333333
NCHS-009	Lung_epithelial	CCR9	48	0	0
NCHS-009	Lung_epithelial	TAC4	48	0	0
NCHS-009	Lung_epithelial	TACR2	48	0	0
NCHS-015	Lung_epithelial	CCL7	1073	0	0
NCHS-015	Lung_epithelial	CCL13	1073	0	0
NCHS-015	Lung_epithelial	CCL19	1073	0	0
NCHS-015	Lung_epithelial	ACKR4	1073	0.00803181620881601	1.02516309412861
NCHS-015	Lung_epithelial	CCR9	1073	0	0
NCHS-015	Lung_epithelial	TAC4	1073	0.00503325128021993	0.838769804287046
NCHS-015	Lung_epithelial	TACR2	1073	0.000884311361255093	0.0931966449207829
SC069	Lung_epithelial	CCL7	3	0	0
SC069	Lung_epithelial	CCL13	3	0	0
SC069	Lung_epithelial	CCL19	3	0	0
SC069	Lung_epithelial	ACKR4	3	0	0
SC069	Lung_epithelial	CCR9	3	0	0
SC069	Lung_epithelial	TAC4	3	0	0
SC069	Lung_epithelial	TACR2	3	0	0
SC072	Lung_epithelial	CCL7	494	0	0
SC072	Lung_epithelial	CCL13	494	0	0
SC072	Lung_epithelial	CCL19	494	0	0
SC072	Lung_epithelial	ACKR4	494	0.0192427343236922	1.417004048583
SC072	Lung_epithelial	CCR9	494	0	0
SC072	Lung_epithelial	TAC4	494	0	0
SC072	Lung_epithelial	TACR2	494	0.00518412349535052	0.404858299595142
SC073	Lung_epithelial	CCL7	152	0	0
SC073	Lung_epithelial	CCL13	152	0	0
SC073	Lung_epithelial	CCL19	152	0	0
SC073	Lung_epithelial	ACKR4	152	0.0128178552392547	0.657894736842105
SC073	Lung_epithelial	CCR9	152	0	0
SC073	Lung_epithelial	TAC4	152	0	0
SC073	Lung_epithelial	TACR2	152	0	0
NCHS-009	Myeloid	CCL7	1697	0.0121507477677591	0.766057748968768
NCHS-009	Myeloid	CCL13	1697	0.00753585988209035	0.707130229817325
NCHS-009	Myeloid	CCL19	1697	0.0626980220195307	5.1266941661756
NCHS-009	Myeloid	ACKR4	1697	0.00242171605464492	0.235710076605775
NCHS-009	Myeloid	CCR9	1697	0.000178705424591981	0.0589275191514437
NCHS-009	Myeloid	TAC4	1697	0	0
NCHS-009	Myeloid	TACR2	1697	0.00531889049576922	1.17855038302887
NCHS-015	Myeloid	CCL7	3	0	0
NCHS-015	Myeloid	CCL13	3	0	0
NCHS-015	Myeloid	CCL19	3	0	0
NCHS-015	Myeloid	ACKR4	3	0	0
NCHS-015	Myeloid	CCR9	3	0	0
NCHS-015	Myeloid	TAC4	3	0	0
NCHS-015	Myeloid	TACR2	3	0	0
SC069	Myeloid	CCL7	4595	0	0
SC069	Myeloid	CCL13	4595	0.00130688544073392	0.0652883569096844
SC069	Myeloid	CCL19	4595	0	0
SC069	Myeloid	ACKR4	4595	0.00560347870167998	0.239390642002176
SC069	Myeloid	CCR9	4595	0	0
SC069	Myeloid	TAC4	4595	0	0
SC069	Myeloid	TACR2	4595	0	0
SC072	Myeloid	CCL7	86	0	0
SC072	Myeloid	CCL13	86	0	0
SC072	Myeloid	CCL19	86	0	0
SC072	Myeloid	ACKR4	86	0	0
SC072	Myeloid	CCR9	86	0	0
SC072	Myeloid	TAC4	86	0	0
SC072	Myeloid	TACR2	86	0	0
SC073	Myeloid	CCL7	536	0	0
SC073	Myeloid	CCL13	536	0.00430472979406975	0.373134328358209
SC073	Myeloid	CCL19	536	0	0
SC073	Myeloid	ACKR4	536	0.00646357718515473	0.186567164179104
SC073	Myeloid	CCR9	536	0	0
SC073	Myeloid	TAC4	536	0.00543812506028043	0.373134328358209
SC073	Myeloid	TACR2	536	0	0
NCHS-015	Osteoblastic_OS	CCL7	7151	0	0
NCHS-015	Osteoblastic_OS	CCL13	7151	0	0
NCHS-015	Osteoblastic_OS	CCL19	7151	0	0
NCHS-015	Osteoblastic_OS	ACKR4	7151	0.00722922810194131	0.727171025031464
NCHS-015	Osteoblastic_OS	CCR9	7151	0.00129984115834459	0.097888407215774
NCHS-015	Osteoblastic_OS	TAC4	7151	0.0488796734798063	4.61473919731506
NCHS-015	Osteoblastic_OS	TACR2	7151	0.00094436318683457	0.083904349042092
SC069	Osteoblastic_OS	CCL7	2	0	0
SC069	Osteoblastic_OS	CCL13	2	0	0
SC069	Osteoblastic_OS	CCL19	2	0	0
SC069	Osteoblastic_OS	ACKR4	2	0	0
SC069	Osteoblastic_OS	CCR9	2	0	0
SC069	Osteoblastic_OS	TAC4	2	0	0
SC069	Osteoblastic_OS	TACR2	2	0	0
SC073	Osteoblastic_OS	CCL7	1464	0	0
SC073	Osteoblastic_OS	CCL13	1464	0	0
SC073	Osteoblastic_OS	CCL19	1464	0	0
SC073	Osteoblastic_OS	ACKR4	1464	0.00679224184827241	0.546448087431694
SC073	Osteoblastic_OS	CCR9	1464	0	0
SC073	Osteoblastic_OS	TAC4	1464	0.0432871420764722	3.82513661202186
SC073	Osteoblastic_OS	TACR2	1464	0	0
NCHS-015	Osteoclast	CCL7	483	0	0
NCHS-015	Osteoclast	CCL13	483	0	0
NCHS-015	Osteoclast	CCL19	483	0	0
NCHS-015	Osteoclast	ACKR4	483	0.00984071253559013	1.24223602484472
NCHS-015	Osteoclast	CCR9	483	0	0
NCHS-015	Osteoclast	TAC4	483	0.00599558304932564	0.82815734989648
NCHS-015	Osteoclast	TACR2	483	0	0
SC072	Osteoclast	CCL7	3	0	0
SC072	Osteoclast	CCL13	3	0	0
SC072	Osteoclast	CCL19	3	0	0
SC072	Osteoclast	ACKR4	3	0	0
SC072	Osteoclast	CCR9	3	0	0
SC072	Osteoclast	TAC4	3	0	0
SC072	Osteoclast	TACR2	3	0	0
SC073	Osteoclast	CCL7	156	0	0
SC073	Osteoclast	CCL13	156	0	0
SC073	Osteoclast	CCL19	156	0	0
SC073	Osteoclast	ACKR4	156	0	0
SC073	Osteoclast	CCR9	156	0	0
SC073	Osteoclast	TAC4	156	0	0
SC073	Osteoclast	TACR2	156	0	0
NCHS-009	Proliferating	CCL7	7	0	0
NCHS-009	Proliferating	CCL13	7	0	0
NCHS-009	Proliferating	CCL19	7	0	0
NCHS-009	Proliferating	ACKR4	7	0	0
NCHS-009	Proliferating	CCR9	7	0	0
NCHS-009	Proliferating	TAC4	7	0	0
NCHS-009	Proliferating	TACR2	7	0	0
NCHS-015	Proliferating	CCL7	232	0	0
NCHS-015	Proliferating	CCL13	232	0	0
NCHS-015	Proliferating	CCL19	232	0	0
NCHS-015	Proliferating	ACKR4	232	0.0211484501544595	2.1551724137931
NCHS-015	Proliferating	CCR9	232	0	0
NCHS-015	Proliferating	TAC4	232	0.0117886472198357	0.431034482758621
NCHS-015	Proliferating	TACR2	232	0	0
SC069	Proliferating	CCL7	166	0	0
SC069	Proliferating	CCL13	166	0	0
SC069	Proliferating	CCL19	166	0	0
SC069	Proliferating	ACKR4	166	0	0
SC069	Proliferating	CCR9	166	0	0
SC069	Proliferating	TAC4	166	0	0
SC069	Proliferating	TACR2	166	0	0
SC072	Proliferating	CCL7	1	0	0
SC072	Proliferating	CCL13	1	0	0
SC072	Proliferating	CCL19	1	0	0
SC072	Proliferating	ACKR4	1	0	0
SC072	Proliferating	CCR9	1	0	0
SC072	Proliferating	TAC4	1	0	0
SC072	Proliferating	TACR2	1	0	0
SC073	Proliferating	CCL7	18	0	0
SC073	Proliferating	CCL13	18	0	0
SC073	Proliferating	CCL19	18	0	0
SC073	Proliferating	ACKR4	18	0	0
SC073	Proliferating	CCR9	18	0	0
SC073	Proliferating	TAC4	18	0	0
SC073	Proliferating	TACR2	18	0	0
NCHS-009	T_NK	CCL7	4783	0	0
NCHS-009	T_NK	CCL13	4783	0	0
NCHS-009	T_NK	CCL19	4783	0.0218522143560136	1.44260924106209
NCHS-009	T_NK	ACKR4	4783	0.000905103005384676	0.0627221409157433
NCHS-009	T_NK	CCR9	4783	0.000313846683386871	0.0209073803052478
NCHS-009	T_NK	TAC4	4783	0	0
NCHS-009	T_NK	TACR2	4783	0	0
NCHS-015	T_NK	CCL7	1	0	0
NCHS-015	T_NK	CCL13	1	0	0
NCHS-015	T_NK	CCL19	1	0	0
NCHS-015	T_NK	ACKR4	1	0	0
NCHS-015	T_NK	CCR9	1	0	0
NCHS-015	T_NK	TAC4	1	0	0
NCHS-015	T_NK	TACR2	1	0	0
SC069	T_NK	CCL7	1444	0	0
SC069	T_NK	CCL13	1444	0	0
SC069	T_NK	CCL19	1444	0	0
SC069	T_NK	ACKR4	1444	0.00219144789947594	0.0692520775623269
SC069	T_NK	CCR9	1444	0	0
SC069	T_NK	TAC4	1444	0	0
SC069	T_NK	TACR2	1444	0	0
SC072	T_NK	CCL7	151	0	0
SC072	T_NK	CCL13	151	0	0
SC072	T_NK	CCL19	151	0	0
SC072	T_NK	ACKR4	151	0	0
SC072	T_NK	CCR9	151	0	0
SC072	T_NK	TAC4	151	0	0
SC072	T_NK	TACR2	151	0	0
SC073	T_NK	CCL7	85	0	0
SC073	T_NK	CCL13	85	0	0
SC073	T_NK	CCL19	85	0	0
SC073	T_NK	ACKR4	85	0	0
SC073	T_NK	CCR9	85	0	0
SC073	T_NK	TAC4	85	0.0266070807587773	1.17647058823529
SC073	T_NK	TACR2	85	0	0
