model	term	n	good_responders	odds_ratio	ci_low	ci_high	p	aic
Pair, unadjusted	pair_mean_z	71	33	0.7766969570880949	0.4753332104921288	1.2691268984242279	0.31313168301564265	101.02390379813941
Pair + age/sex	pair_mean_z	71	33	0.7992946790479591	0.47825891396016706	1.3358287013707182	0.39257984430085446	104.71258263119404
Pair + age/sex + lineages	pair_mean_z	71	33	0.5959774508164829	0.31015302176988163	1.1452060658794618	0.12040033508965528	104.1588962462934
CCL13 + age/sex	CCL13_z	71	33	0.9144686043388319	0.55179178731259	1.5155224263018503	0.7286660176524953	105.33633671157693
ACKR4 + age/sex	ACKR4_z	71	33	0.7923279119053367	0.48462903560262205	1.2953898216264332	0.35336189533391726	104.58545573940275
Interaction + age/sex	CCL13_z:ACKR4_z	71	33	1.2882549673280392	0.6790565763724771	2.4439802493497114	0.4381796344721398	107.92868479375603
